phrase_name,tag_CK,count_CK,tag_j,count_j,total_count_CK,total_count_j,modified_count,modified_tag
城河,Nab,1,ns,3,1,3,1,ns
城牆,Nab,47,n,1957,47,1957,238,n
城狐社鼠,Naeb,0,n,3,0,3,0,n
城邦,Nab,8,n,10341,8,10341,1041,n
城郊,Ncb,11,s,770,11,770,86,s
城郭,Nab,2,n,119,2,119,13,n
城鄉,Naeb,63,n,2316,63,2316,288,n
城鎮,Ncb,157,ns,2194,157,2194,360,ns
城門,Nab,26,n,2153,26,2153,238,n
城關,Nab,0,ns,89,0,89,8,ns
城隍,Nab,13,ns,89,13,89,20,ns
城隍廟,Ncb,36,ns,68,36,68,39,ns
城隍爺,Nba,47,ns,3,47,3,42,ns
城頭,Ncc,2,n,646,2,646,66,n
埏,b,0,g,3,0,3,0,g
埔,b,0,g,69,0,69,6,g
埔心,Nca,15,ns,3,15,3,13,ns
埔里,Nca,17,ns,3,17,3,15,ns
埔鹽,Naa,1,ns,3,1,3,1,ns
埕,Nab,0,g,9,0,9,0,g
埜,b,0,zg,21,0,21,2,zg
域,b,0,n,1124,0,1124,112,n
域外,Ncc,0,s,28,0,28,2,s
埠,b,0,ng,185,0,185,18,ng
埠頭,Ncc,0,n,7,0,7,0,n
埤,b,0,zg,2,0,2,0,zg
埧,b,0,zg,42,0,42,4,zg
埭,b,0,zg,26,0,26,2,zg
埴,b,0,g,2,0,2,0,g
埵,b,0,zg,8,0,8,0,zg
執,VC2,47,"v, zg","2201, 5",47,2206,"261, 1","v, zg"
執中,VH11,0,v,3,0,3,0,v
執事,Nab,10,v,211,10,211,30,v
執事官,Nab,0,n,3,0,3,0,n
執住,VC2,0,v,3,0,3,0,v
執友,Nab,0,n,3,0,3,0,n
執委會,Ncb,15,j,85,15,85,22,j
執導,VC31,11,v,173,11,173,27,v
執意,VL1,47,v,320,47,320,74,v
執拗,VH11,4,v,140,4,140,17,v
執掌,VC2,8,v,850,8,850,92,v
執政,"Nv4, VA4","0, 114",v,2751,114,2751,652,v
執政堂,Ncb,0,n,3,0,3,0,n
執政官,Nab,0,n,155,0,155,15,n
執政者,Nab,0,n,177,0,177,17,n
執政黨,Nac,125,n,317,125,317,144,n
執教,VB11,14,v,325,14,325,45,v
執業,VA4,9,n,113,9,113,19,n
執法,"Nv4, VA4","0, 52",v,1187,52,1187,284,v
執法如山,VH11,0,l,15,0,15,1,l
執照,Nab,121,v,107,121,107,119,v
執牛耳,VA4,1,i,6,1,6,1,i
執禮,VA4,3,v,3,3,3,3,v
執筆,VA4,21,v,86,21,86,27,v
執著,"Nv4, VH11","0, 144","a, v","149, 218",144,367,"91, 111","a, v"
執著性,Nad,0,n,3,0,3,0,n
執行,"Nv1, VC2","0, 1025",v,14504,1025,14504,3823,v
執行官,Nab,2,n,361,2,361,37,n
執行長,Nab,41,n,28,41,28,39,n
執迷,VH11,3,v,45,3,45,7,v
執迷不悟,VH11,8,i,71,8,71,14,i
執鞭,VA4,0,v,14,0,14,1,v
埸,b,0,g,3,0,3,0,g
培,b,0,v,260,0,260,26,v
培土,Naa,0,v,17,0,17,1,v
培根,"Naa, Nba","3, 5",nz,131,8,131,33,nz
培植,"Nv1, VC31","0, 15",v,200,15,200,53,v
培植出,VC31,0,n,3,0,3,0,n
培育,"Nv1, VC31","0, 181",vn,1177,181,1177,398,vn
培育出,VC31,16,n,3,16,3,14,n
培訓,"Nv1, VC2","0, 196",vn,4676,196,4676,1111,vn
培養,"Nv1, VC31","0, 535",v,5850,535,5850,1651,v
培養出來,VB2,19,v,3,19,3,17,v
培養基,Naa,1,n,52,1,52,6,n
培養皿,Nab,1,n,4,1,4,1,n
基,b,0,a,3644,0,3644,364,a
基因,Nab,206,n,1985,206,1985,383,n
基地,Ncb,283,n,11481,283,11481,1402,n
基層,A,178,n,1998,178,1998,360,n
基層組織,Nac,0,n,3,0,3,0,n
基底,Nac,3,n,158,3,158,18,n
基座,Nab,0,n,213,0,213,21,n
基數,Nac,8,n,374,8,374,44,n
基於,P40,363,p,1777,363,1777,504,p
基本,"A, Nad","981, 495",n,20479,1476,20479,5424,n
基本學科,Nac,0,n,3,0,3,0,n
基本工資,Naeb,0,n,281,0,281,28,n
基柱,Nab,2,n,3,2,3,2,n
基業,Nac,7,n,152,7,152,21,n
基構,Nab,0,n,3,0,3,0,n
基準,Nac,71,n,263,71,263,90,n
基準兵,Nab,0,n,3,0,3,0,n
基特爾,Nba,0,nrt,3,0,3,0,nrt
基督,Nba,27,n,246,27,246,48,n
基督學院,Ncb,0,nz,3,0,3,0,nz
基督徒,Nab,15,n,65,15,65,20,n
基督教,Nba,90,nz,2274,90,2274,308,nz
基督教徒,Nab,6,n,128,6,128,18,n
基督書院,Ncb,0,nz,3,0,3,0,nz
基石,Nab,13,n,145,13,145,26,n
基礎,Nad,621,n,18510,621,18510,2409,n
基線,Nac,2,n,120,2,120,13,n
基肥,Naa,2,n,35,2,35,5,n
基調,Nad,18,n,126,18,126,28,n
基質,Naa,0,n,153,0,153,15,n
基輔,Nca,0,n,202,0,202,20,n
基部,Nab,8,n,388,8,388,46,n
基金,Naeb,305,n,3114,305,3114,585,n
基金會,Ncb,468,n,575,468,575,478,n
基隆,Nca,151,nz,151,151,151,151,nz
基隆嶼,Nca,2,nr,3,2,3,2,nr
基隆市,Nca,46,ns,10,46,10,42,ns
基隆河,Nca,36,nr,3,36,3,32,nr
基隆港,Nca,22,ns,3,22,3,20,ns
基點,Nac,9,n,115,9,115,19,n
堀,b,0,zg,7,0,7,0,zg
堂,Nfa,78,q,3849,78,3849,455,q
堂上,Nhac,0,n,282,0,282,28,n
堂伯叔,Naeb,0,n,3,0,3,0,n
堂倌,Nab,0,n,39,0,39,3,n
堂兄弟,Naeb,4,n,78,4,78,11,n
堂務,Nad,0,n,3,0,3,0,n
堂哥哥,Nab,0,n,3,0,3,0,n
堂堂,VH11,22,n,437,22,437,63,n
堂堂正正,VH11,11,i,90,11,90,18,i
堂奧,"Nad, Ncb","10, 0",nrt,11,10,11,11,nrt
堂姊,Nab,3,n,3,3,3,3,n
堂姊妹,Naeb,0,n,3,0,3,0,n
堂屋,Nab,2,n,343,2,343,36,n
堂會,Nac,0,n,55,0,55,5,n
堂皇,VH11,12,n,84,12,84,19,n
堂而皇之,Dh,7,i,89,7,89,15,i
堅,b,0,"v, zg","1151, 2",0,1153,"115, 0","v, zg"
堅信,VK1,20,v,341,20,341,52,v
堅厚,VH11,0,a,3,0,3,0,a
堅固,VH11,40,a,610,40,610,97,a
堅壁清野,VA4,0,i,32,0,32,3,i
堅守,VJ1,33,v,690,33,690,98,v
堅定,VH16,108,a,1241,108,1241,221,a
堅定不移,VH11,0,i,255,0,255,25,i
堅實,VH16,20,ad,658,20,658,83,ad
堅強,"Nv4, VH11","0, 97",v,1146,97,1146,316,v
堅忍,VH11,18,v,69,18,69,23,v
堅忍不拔,VH11,5,i,15,5,15,6,i
堅拒,VC2,3,v,3,3,3,3,v
堅持,"Nv3, VK2","0, 459",v,10215,459,10215,2456,v
堅挺,VH11,4,a,71,4,71,10,a
堅果,Nab,3,n,132,3,132,15,n
堅決,VH11,88,ad,3168,88,3168,396,ad
堅牢,VH11,0,v,36,0,36,3,v
堅甲利兵,Naeb,0,n,2,0,2,0,n
堅硬,VH11,32,a,592,32,592,88,a
堅稱,VE2,10,v,29,10,29,11,v
堅苦,VH11,2,a,2,2,2,2,a
堅苦卓絕,VH11,0,i,3,0,3,0,i
堅貞,"Nv4, VH11","0, 0",a,32,0,32,6,a
堅韌,VH11,13,a,249,13,249,36,a
堅韌不拔,VH11,1,i,59,1,59,6,i
堆,"Nfc, Nfd, VC33","0, 281, 65",v,2470,346,2470,1052,v
堆上去,VB2,0,v,3,0,3,0,v
堆下,VC33,0,v,3,0,3,0,v
堆入,VC33,1,v,3,1,3,1,v
堆垛,VC31,0,n,10,0,10,1,n
堆成,VG1,5,v,3,5,3,4,v
堆成堆,VB12,0,n,3,0,3,0,n
堆放,VC33,14,v,119,14,119,24,v
堆棧,Nab,5,n,38,5,38,8,n
堆疊,VA2,15,v,16,15,16,15,v
堆砌,VC33,12,v,85,12,85,19,v
堆積,"Nv1, VC33","0, 52",v,810,52,810,208,v
堆積如山,VH11,10,i,99,10,99,18,i
堆積成,VG1,0,i,3,0,3,0,i
堆積起來,VB12,0,i,3,0,3,0,i
堆肥,"Naa, VA4","5, 0",v,24,5,24,9,v
堆起來,VB12,0,v,3,0,3,0,v
堆金積玉,VA4,0,n,3,0,3,0,n
堆高機,Nab,0,n,3,0,3,0,n
堇,b,0,n,48,0,48,4,n
堊,Naa,1,zg,10,1,10,1,zg
堊粉,Naa,0,n,3,0,3,0,n
堙,b,0,zg,33,0,33,3,zg
堝,b,0,zg,1284,0,1284,128,zg
堞,b,0,g,38,0,38,3,g
堠,b,0,g,17,0,17,1,g
堡,b,0,ng,1491,0,1491,149,ng
堡主,Nab,0,n,5,0,5,0,n
堡壘,Nab,20,n,323,20,323,50,n
堡寨,Ncb,0,n,12,0,12,1,n
堤,b,0,n,1708,0,1708,170,n
堤堰,Nab,0,n,11,0,11,1,n
堤壩,Ncb,0,n,107,0,107,10,n
堤岸,Nab,2,s,105,2,105,12,s
堤道,Ncb,0,n,3,0,3,0,n
堤防,Nab,34,n,113,34,113,41,n
堤防道,Ncb,0,n,3,0,3,0,n
堪,VH11,1,zg,767,1,767,77,zg
堪察,VC2,1,v,3,1,3,1,v
堪測,VC2,0,v,3,0,3,0,v
堪薩斯,Nca,2,ns,24,2,24,4,ns
堪薩斯州,Nca,1,ns,15,1,15,2,ns
堪虞,VH11,4,ns,3,4,3,3,ns
堪輿,b,0,ns,23,0,23,2,ns
堪輿家,Nab,0,ns,3,0,3,0,ns
堪驗,VC2,0,v,3,0,3,0,v
堯,Nba,9,zg,307,9,307,38,zg
堯天舜日,Ndaaa,0,vn,3,0,3,0,vn
堰,b,0,ns,434,0,434,43,ns
報,"Nab, Nv1, VC2","335, 169, 0","n, zg","14647, 10",504,14657,"4845, 5","n, zg"
報上,VC2,12,v,903,12,903,101,v
報仇,VA4,22,v,1185,22,1185,138,v
報佳音,VA4,3,n,3,3,3,3,n
報信,VA4,1,v,106,1,106,11,v
報值,A,0,n,3,0,3,0,n
報值掛號,Nab,0,n,3,0,3,0,n
報備,"Nv4, VA4","0, 26",v,3,26,3,24,v
報價,"Nad, VA4","29, 13",n,366,42,366,111,n
報償,Nad,15,v,36,15,36,17,v
報冤,VB11,0,v,3,0,3,0,v
報冤雪恨,VA4,0,i,3,0,3,0,i
報出,VC2,1,v,54,1,54,6,v
報刊,Naeb,32,n,776,32,776,106,n
報到,VA4,72,v,41,72,41,68,v
報功,VA4,0,n,3,0,3,0,n
報務,Nad,1,n,3,1,3,1,n
報名,VA4,411,v,1606,411,1606,530,v
報名表,Nab,11,n,48,11,48,14,n
報名費,Naeb,6,n,22,6,22,7,n
報告,"Nab, VE12","687, 247",n,16715,934,16715,4183,n
報告書,Nab,22,n,191,22,191,38,n
報命,VA4,0,n,3,0,3,0,n
報喜,VA4,14,v,61,14,61,18,v
報喪,VA4,0,v,37,0,37,3,v
報單,Nab,4,n,8,4,8,4,n
報國,VA4,11,n,226,11,226,32,n
報夾,Nab,0,n,3,0,3,0,n
報導,"Nac, VE2","390, 794",n,91,1184,91,1083,n
報導出來,VB12,2,l,3,2,3,2,l
報帖,VA4,0,n,3,0,3,0,n
報廢,VH11,9,v,107,9,107,18,v
報復,"Nad, VC2","29, 36",v,779,65,779,214,v
報德,VH11,3,n,3,3,3,3,n
報怨,VE2,0,v,47,0,47,4,v
報恩,VA4,5,v,85,5,85,13,v
報應,Nac,10,v,211,10,211,30,v
報捷,VA4,2,n,81,2,81,9,n
報效,VC2,6,n,138,6,138,19,n
報數,VA4,1,n,22,1,22,3,n
報時,VA4,1,n,34,1,34,4,n
報曉,VA4,1,v,37,1,37,4,v
報案,"Nv4, VA4","0, 76",n,88,76,88,86,n
報業,Nad,12,n,211,12,211,31,n
報界,Ncb,5,n,29,5,29,7,n
報社,Ncb,40,n,321,40,321,68,n
報禁,Nad,12,v,3,12,3,11,v
報稅,VA4,5,n,3,5,3,4,n
報章,Naeb,50,n,26,50,26,47,n
報答,"Nv1, VC2","0, 29",v,426,29,426,111,v
報紙,Nab,387,n,2719,387,2719,620,n
報考,VC2,46,v,1586,46,1586,200,v
報表,Nab,71,n,294,71,294,93,n
報警,VA4,35,n,290,35,290,60,n
報販,Nab,0,n,3,0,3,0,n
報費,Naeb,0,n,3,0,3,0,n
報載,VE2,21,v,11,21,11,20,v
報酬,Naeb,72,n,815,72,815,146,n
報銷,"VC31, VH11","8, 0",v,232,8,232,53,v
報關,VA4,11,v,54,11,54,15,v
報關行,Ncb,7,n,2,7,2,6,n
報館,Ncb,5,n,64,5,64,10,n
場,"!Ncb, Nfa, Nfi","0, 1615, 0","q, zg","11435, 2",1615,11437,"4318, 566","q, zg"
場主,Nab,0,n,12,0,12,1,n
場區,Ncb,0,n,22,0,22,2,n
場合,Nac,146,n,1982,146,1982,329,n
場地,Nab,258,s,763,258,763,308,s
場子,Nab,3,n,127,3,127,15,n
場屋,Ncb,0,n,3,0,3,0,n
場所,Nab,345,n,2496,345,2496,560,n
場景,Nac,74,n,926,74,926,159,n
場磁鐵,Nab,0,n,3,0,3,0,n
場規,Nac,0,n,3,0,3,0,n
場記,Nab,3,n,2,3,2,2,n
場面,Nac,151,n,1601,151,1601,296,n
堵,"Nfa, VC2","23, 19",v,1193,42,1193,276,v
堵住,VC2,20,v,325,20,325,50,v
堵嘴,VB11,0,v,3,0,3,0,v
堵塞,VH16,28,v,472,28,472,72,v
堵門,VA4,0,v,3,0,3,0,v
塊,"!Naa, Nfa, Nfg","0, 1046, 0",zg,6749,1046,6749,2966,zg
塊根,Nab,8,nz,67,8,67,13,nz
塊莖,Nab,1,n,70,1,70,7,n
塊頭,Nad,1,n,18,1,18,2,n
塋,b,0,ng,12,0,12,1,ng
塌,VH11,11,v,722,11,722,82,v
塌下來,VH11,14,v,3,14,3,12,v
塌實,VH11,0,v,20,0,20,2,v
塌臺,VH11,0,v,2,0,2,0,v
塌陷,VH12,3,v,109,3,109,13,v
塌鼻,Nab,0,v,3,0,3,0,v
塍,Nab,0,g,5,0,5,0,g
塑,b,0,n,397,0,397,39,n
塑像,Nab,12,n,276,12,276,38,n
塑化劑,Naa,0,n,3,0,3,0,n
塑匠,Nab,0,n,3,0,3,0,n
塑成,VG1,3,v,3,3,3,3,v
塑料,Naa,4,n,996,4,996,103,n
塑膠,Naa,91,n,72,91,72,89,n
塑膠套,Nab,0,n,3,0,3,0,n
塑膠工業,Nad,0,n,3,0,3,0,n
塑膠板,Nab,0,n,3,0,3,0,n
塑膠片,Nab,1,n,3,1,3,1,n
塑膠球,Nab,0,n,3,0,3,0,n
塑膠瓶,Nab,3,n,3,3,3,3,n
塑膠管,Nab,3,n,3,3,3,3,n
塑膠紙,Nab,2,n,3,2,3,2,n
塑膠袋,Nab,17,n,3,17,3,15,n
塑膠錢,Nad,0,n,3,0,3,0,n
塑膠體,Nab,0,n,3,0,3,0,n
塑造,"Nv1, VC31","0, 172",v,896,172,896,334,v
塔,Nab,58,j,2987,58,2987,350,j
塔城,Nca,0,ns,60,0,60,6,ns
塔墩,Nab,0,nrt,3,0,3,0,nrt
塔斯社,Nca,4,nr,93,4,93,12,nr
塔臺,Ncb,0,ns,46,0,46,4,ns
塔里木河,Nca,0,ns,123,0,123,12,ns
塔里木盆地,Nca,0,ns,140,0,140,14,ns
塔門,Nab,0,ns,20,0,20,2,ns
塗,VC33,49,v,1449,49,1449,189,v
塗寫,VC33,1,v,6,1,6,1,v
塗抹,VC2,30,nr,236,30,236,50,nr
塗掉,VC2,5,v,3,5,3,4,v
塗改,VC2,5,v,60,5,60,10,v
塗料,Naa,10,n,559,10,559,64,n
塗潭,Nca,0,nr,3,0,3,0,nr
塗竄,VC2,0,v,3,0,3,0,v
塗脂抹粉,VA4,1,i,24,1,24,3,i
塗飾,VC2,0,v,18,0,18,1,v
塗鴉,VA4,12,n,25,12,25,13,n
塘,Nab,4,j,875,4,875,91,j
塘塞,VC2,0,ns,3,0,3,0,ns
塙,b,0,zg,5,0,5,0,zg
塚,Nab,3,zg,4,3,4,3,zg
塞,VC33,58,v,2906,58,2906,342,v
塞住,VC2,7,v,3,7,3,6,v
塞入,VC32,8,v,115,8,115,18,v
塞內加爾,Nca,0,ns,168,0,168,16,ns
塞北,Ncc,2,ns,70,2,70,8,ns
塞北高原,Nca,0,ns,3,0,3,0,ns
塞外,Ncc,4,s,189,4,189,22,s
塞子,Nab,0,nr,92,0,92,9,nr
塞尚,Nba,25,nrt,24,25,24,24,nrt
塞普路斯,Nca,3,nrt,3,3,3,3,nrt
塞浦路斯,Nca,1,ns,155,1,155,16,ns
塞滿,VC33,0,nr,96,0,96,9,nr
塞納河,Nca,51,ns,69,51,69,52,ns
塞翁失馬,VH11,6,i,10,6,10,6,i
塞藥,Naa,0,n,3,0,3,0,n
塞門,Nab,0,ns,9,0,9,0,ns
塢,b,0,"ng, zg","354, 4",0,358,"35, 0","ng, zg"
填,VC33,63,v,1363,63,1363,193,v
填上,VC33,3,v,3,3,3,3,v
填充,"Nv1, VC2","0, 3",v,231,3,231,48,v
填入,VC33,14,v,3,14,3,12,v
填塞,VC33,5,v,36,5,36,8,v
填字遊戲,Nac,0,n,3,0,3,0,n
填實起來,VB12,0,l,3,0,3,0,l
填寫,"Nv1, VC33","0, 57",v,518,57,518,154,v
填平,VC2,4,n,54,4,54,9,n
填房,Nab,1,n,7,1,7,1,n
填海造地,VA4,0,n,3,0,3,0,n
填滿,VC33,20,v,131,20,131,31,v
填空,VA4,3,v,101,3,101,12,v
填表,VA4,1,v,39,1,39,4,v
填補,VC2,27,v,587,27,587,83,v
填詞,VA4,5,n,70,5,70,11,n
填起來,VB12,0,v,3,0,3,0,v
填隙,VA4,0,n,3,0,3,0,n
填鴨,b,0,nz,5,0,5,0,nz
填鴨式,A,10,b,8,10,8,9,b
塵,b,0,"n, zg","989, 10",0,999,"98, 1","n, zg"
塵世,Ncb,14,n,110,14,110,23,n
塵事,Nac,1,n,2,1,2,1,n
塵俗,Nad,1,n,24,1,24,3,n
塵凡,Ncb,0,v,3,0,3,0,v
塵務,Nad,0,n,3,0,3,0,n
塵囂,Nad,7,n,12,7,12,7,n
塵土,Nab,14,n,379,14,379,50,n
塵垢,Naa,7,n,23,7,23,8,n
塵埃,Naa,24,n,340,24,340,55,n
塵埃落定,VH11,4,i,51,4,51,8,i
塵壤,Nad,0,n,3,0,3,0,n
塵寰,Nad,0,n,14,0,14,1,n
塵封,VH11,7,n,83,7,83,14,n
塵沙,Nab,6,n,46,6,46,10,n
塵粒,Naa,1,n,3,1,3,1,n
塵緣,Nad,2,n,37,2,37,5,n
塵襟盡滌,VH11,0,i,3,0,3,0,i
塵霧,Naeb,1,n,16,1,16,2,n
塹,b,0,zg,338,0,338,33,zg
塹壕,Nab,0,n,34,0,34,3,n
塾,b,0,n,47,0,47,4,n
塾師,Nab,1,n,21,1,21,3,n
墀,b,0,g,14,0,14,1,g
墁,b,0,zg,6,0,6,0,zg
境,b,0,s,3916,0,3916,391,s
境內,Ncc,3,s,6247,3,6247,627,s
境地,Nad,22,s,693,22,693,89,s
境外,Ncc,0,s,744,0,744,74,s
境況,Nad,6,n,246,6,246,30,n
境界,Nad,270,n,1737,270,1737,416,n
境遇,Nad,12,n,175,12,175,28,n
境過情遷,VH11,0,n,3,0,3,0,n
墅,b,0,x,18,0,18,1,x
墉,b,0,g,15,0,15,1,g
墊,VC31,24,zg,513,24,513,72,zg
墊上運動,Nad,0,v,3,0,3,0,v
墊付,VC31,6,v,60,6,60,11,v
墊子,Nab,6,n,88,6,88,14,n
墊平,VB12,0,n,3,0,3,0,n
墊底,VH11,8,n,3,8,3,7,n
墊板,Nab,2,n,4,2,4,2,n
墊款,"Naeb, VA4","7, 0",n,28,7,28,11,n
墊背,"Nab, VA4","0, 0",n,28,0,28,5,n
墊腳石,Nab,1,n,24,1,24,3,n
墊被,Nab,0,n,3,0,3,0,n
墊補,VC2,0,v,3,0,3,0,v
墊褥,Nab,0,n,3,0,3,0,n
墓,Nab,49,n,6535,49,6535,697,n
墓園,Ncb,19,n,67,19,67,23,n
墓地,Ncb,22,n,502,22,502,70,n
墓木,Nab,0,n,3,0,3,0,n
墓木已拱,VH11,1,n,3,1,3,1,n
墓碑,Nab,10,n,224,10,224,31,n
墓碣,Nab,1,n,3,1,3,1,n
墓祭,Nad,0,n,3,0,3,0,n
墓穴,Nab,11,n,277,11,277,37,n
墓誌銘,Nac,3,n,67,3,67,9,n
墓道,Nab,0,n,412,0,412,41,n
墜,b,0,"v, zg","672, 359",0,1031,"67, 35","v, zg"
墜下,VC1,1,v,3,1,3,1,v
墜入,VC1,17,v,128,17,128,28,v
墜地,VA13,0,n,34,0,34,3,n
墜子,Nab,1,n,28,1,28,3,n
墜樓,VA13,1,n,6,1,6,1,n
墜機,VA13,4,n,26,4,26,6,n
墜毀,VH11,4,v,140,4,140,17,v
墜落,VA11,18,v,186,18,186,34,v
墜體,Nab,0,n,3,0,3,0,n
增,VJ3,130,v,3054,130,3054,422,v
增值,"Nv4, VH12","0, 14",v,590,14,590,130,v
增光,VI2,1,v,24,1,24,3,v
增刊,VH11,0,v,14,0,14,1,v
增加,"Nv4, VH16","0, 1755",v,16195,1755,16195,4818,v
增加率,Nad,4,n,3,4,3,3,n
增多,"Nv4, VH16","0, 74",v,1798,74,1798,426,v
增大,VH12,27,v,1541,27,1541,178,v
增廣,VC2,14,v,10,14,10,13,v
增建,"Nv1, VC33","0, 24",v,45,24,45,30,v
增強,"Nv4, VH16","0, 107",v,4300,107,4300,956,v
增援,VC2,8,v,390,8,390,46,v
增損,Nad,0,v,3,0,3,0,v
增收,VC31,2,v,693,2,693,71,v
增添,VC31,82,v,1462,82,1462,220,v
增減,"Nv1, VC2","0, 15",v,220,15,220,57,v
增產,VC31,23,v,823,23,823,103,v
增益,Nad,2,n,90,2,90,10,n
增給,VD1,0,v,3,0,3,0,v
增色,VH11,7,n,45,7,45,10,n
增補,VC31,4,v,222,4,222,25,v
增訂本,Nab,0,n,18,0,18,1,n
增資,"Nv1, VC31","0, 46",v,127,46,127,66,v
增進,"Nv1, VC2","0, 197",v,603,197,603,297,v
增長,"VH12, VH16","0, 76",v,20465,76,20465,4161,v
增長率,Nad,5,n,935,5,935,98,n
增高,VH11,32,v,529,32,529,81,v
墟,b,0,ng,387,0,387,38,ng
墡,b,0,zg,28,0,28,2,zg
墦,b,0,zg,387,0,387,38,zg
墨,Nab,71,nr,1243,71,1243,188,nr
墨吏,Nab,0,nr,3,0,3,0,nr
墨囊,Nab,0,n,3,0,3,0,n
墨國,Nca,0,ns,3,0,3,0,ns
墨子,Nba,17,n,110,17,110,26,n
墨守,VJ1,2,nr,3,2,3,2,nr
墨守成規,VH11,8,nr,28,8,28,10,nr
墨客,Nab,4,nr,5,4,5,4,nr
墨家,Nab,8,n,88,8,88,16,n
墨寶,Nab,3,nr,39,3,39,6,nr
墨斗,Nab,0,nr,15,0,15,1,nr
墨水,Naa,12,ns,128,12,128,23,ns
墨水瓶,Nab,0,nr,12,0,12,1,nr
墨汁,Naa,8,nr,77,8,77,14,nr
墨沈沈,VH11,0,nr,3,0,3,0,nr
墨爾本,Nca,12,ns,123,12,123,23,ns
墨盒,Nab,0,n,41,0,41,4,n
墨筆,Nab,1,n,34,1,34,4,n
墨索里尼,Nba,3,nrt,192,3,192,21,nrt
墨經,Nba,2,n,3,2,3,2,n
墨綠,A,5,nr,36,5,36,8,nr
墨繩,Nab,0,ns,3,0,3,0,ns
墨西哥,Nca,75,ns,1301,75,1301,197,ns
墨西哥人,Nab,5,nrt,29,5,29,7,nrt
墨西哥市,Nca,0,ns,3,0,3,0,ns
墨跡,Nad,0,n,137,0,137,13,n
墨鏡,Nab,12,n,1146,12,1146,125,n
墨魚,Nab,0,n,296,0,296,29,n
墨鴉,Nab,0,n,3,0,3,0,n
墨黑,A,0,ns,32,0,32,3,ns
墩,b,0,v,1585,0,1585,158,v
墩子,Nab,0,n,31,0,31,3,n
墮,b,0,"v, zg","693, 703",0,1396,"69, 70","v, zg"
墮胎,VB11,10,v,78,10,78,16,v
墮落,"Nv4, VH11","0, 44",v,390,44,390,117,v
墳,Nab,32,"n, zg","1159, 2",32,1161,"144, 0","n, zg"
墳典,Nab,0,n,3,0,3,0,n
墳地,Ncb,12,n,118,12,118,22,n
墳墓,Nab,38,n,494,38,494,83,n
墳山,Ncb,0,n,11,0,11,1,n
墺,b,0,zg,12,0,12,1,zg
墾,b,0,v,262,0,262,26,v
墾丁,Nca,54,nrt,6,54,6,49,nrt
墾丁公園,Nca,0,ns,3,0,3,0,ns
墾區,Nab,0,ns,44,0,44,4,ns
墾地,Nab,0,n,3,0,3,0,n
墾殖,VC2,7,vn,114,7,114,17,vn
墾民,Nab,2,n,3,2,3,2,n
墾荒,VA4,4,v,100,4,100,13,v
壁,Nab,29,n,2300,29,2300,256,n
壁報,Nab,21,n,7,21,7,19,n
壁壘,Nad,12,n,164,12,164,27,n
壁壘分明,VH11,5,n,3,5,3,4,n
壁壘森嚴,VH11,0,i,6,0,6,0,i
壁櫥,Nab,4,n,18,4,18,5,n
壁燈,Nab,0,n,18,0,18,1,n
壁爐,Nab,3,n,42,3,42,6,n
壁玉,Nab,0,n,3,0,3,0,n
壁畫,Nac,41,n,1046,41,1046,141,n
壁立,VH14,1,v,39,1,39,4,v
壁紙,Nab,3,n,35,3,35,6,n
壁虎,Nab,2,n,79,2,79,9,n
壅,b,0,zg,98,0,98,9,zg
壅塞,VH11,17,v,44,17,44,19,v
壇,b,0,"ng, zg","5158, 238",0,5396,"515, 23","ng, zg"
壇場,Ncb,0,n,3,0,3,0,n
壎,Nab,1,"ng, zg","49, 9",1,58,"5, 1","ng, zg"
壑,b,0,ng,179,0,179,17,ng
壓,VC2,113,"v, zg","4586, 25",113,4611,"557, 4","v, zg"
壓下,VC2,3,n,3,3,3,3,n
壓下去,VB12,3,v,3,3,3,3,v
壓低,VC2,42,v,475,42,475,85,v
壓住,VC2,13,v,3,13,3,12,v
壓倒,VC31,12,v,417,12,417,52,v
壓倒性,Nad,10,n,64,10,64,15,n
壓克力,Naa,8,n,3,8,3,7,n
壓出,VC31,2,v,20,2,20,3,v
壓制,"Nv1, VC2","0, 69",n,689,69,689,199,n
壓力,Nad,944,n,6044,944,6044,1454,n
壓力強度,Nad,0,n,3,0,3,0,n
壓力計,Nab,0,n,16,0,16,1,n
壓印,VC32,0,n,12,0,12,1,n
壓土機,Nab,0,n,3,0,3,0,n
壓垮,VC2,4,v,33,4,33,6,v
壓境,VA4,10,n,64,10,64,15,n
壓寨夫人,Nab,0,n,9,0,9,0,n
壓寶,VA4,0,n,3,0,3,0,n
壓平,VB12,0,n,34,0,34,3,n
壓扁,VC2,4,n,3,4,3,3,n
壓抑,"Nv1, VC2","0, 132",v,664,132,664,251,v
壓服,VC2,4,n,48,4,48,8,n
壓根兒,Dbb,6,n,236,6,236,29,n
壓條,VA4,0,n,48,0,48,4,n
壓條法,Nad,1,n,3,1,3,1,n
壓榨,"Nv1, VC2","0, 11",v,130,11,130,35,v
壓榨器,Nab,0,nz,3,0,3,0,nz
壓歲,VA4,0,n,6,0,6,0,n
壓歲錢,Naeb,15,n,41,15,41,17,n
壓盤石,Nab,0,n,3,0,3,0,n
壓破,VC2,1,vn,3,1,3,1,vn
壓碎,VC2,2,v,3,2,3,2,v
壓箱底,VA4,0,n,3,0,3,0,n
壓緊,VC2,0,v,3,0,3,0,v
壓線,VH11,0,n,3,0,3,0,n
